name,median_income,median_rent,rent_burden_pct,White_share,Black_share,Hispanic_share,Asian_share,Other_share
Mid-Wilshire,92978.54710558218,2293.5833822116306,28.36549734601422,39.444397564746595,12.50503020998203,18.898035551056203,22.06013815437474,7.09239851984043
Mission Hills,92791.14802027542,2339.6558131469665,41.416423568793064,16.43798470017004,1.9272783031187912,68.40028193713654,9.55114723867917,3.6833078208954646
Montecito Heights,112003.09683321248,1886.1056695041802,19.359152056404934,18.891353655306972,3.5541465754182338,43.07458302083897,30.032428883176273,4.447487865259546
Mount Washington,123724.77524137658,2513.1811961224366,22.546063305585015,42.53438251868106,1.5130105774402904,41.10986715832077,10.891325143047814,3.95141460251007
North Hills,82987.56198583233,1918.9000338932904,39.55230895480891,18.226926730471902,4.290480672220384,62.12734419340529,12.514872704152165,2.840375699750254
North Hollywood,67775.81640306392,1824.0071427442006,33.26363710272401,36.32251866607192,5.846916848475706,46.69706644029804,7.062867150645659,4.070630894508682
Northridge,92298.0896134372,1838.8128228169135,32.00561725995004,34.46447032936492,5.931750999228263,36.31432347228252,19.128049603250744,4.161405595873546
Pacific Palisades,195145.23741775684,2881.4297697199627,25.127734783754107,77.12548748891497,0.782971115911558,7.089276431469179,7.353604547046296,7.6486604166579895
Pacoima,68470.98251169919,1776.1978514064872,37.089144764329276,3.0530938376806502,2.518820112105133,90.89259046217504,2.483540289057555,1.0519552989816248
Palms,104552.54433364939,2278.5495171639413,21.239819205329535,43.504671116313304,6.1461577455462,20.645871941731333,23.372352656876718,6.330946539532448
Panorama City,59506.150851314516,1579.4192131781297,37.17583055447298,10.038665660660609,2.951292090503917,71.2084560909093,14.672001025005022,1.1295851329211644
Pico-Robertson,102982.89817912693,2523.6453535869396,28.54250880373963,68.79259531493032,2.518859352100049,10.749134805447719,10.430228580321163,7.509181947200744
Pico-Union,46175.13142388507,1207.4677853357816,28.315373562901822,4.2801122587821565,2.445643077498098,80.63999524031996,11.35387949971362,1.2803699236861519
